year,name,median_sale_price
2013,Archer Heights,136750.0
2013,Archer Highlands,133272.5
2013,Armour Square,262750.0
2013,Ashburn,113000.0
2013,Ashburn Estates,161250.0
2013,Auburn Gresham,44000.0
2013,Austin,68500.0
2013,Avalon Park,54000.0
2013,Avondale,223725.0
2013,Back Of The Yards,30708.25
2013,Belmont Cragin,155750.0
2013,Belmont Heights,173750.0
2013,Belmont Terrace,171000.0
2013,Beverly,222500.0
2013,Beverly View,145500.0
2013,Beverly Woods,140000.0
2013,Big Oaks,232375.0
2013,Bowmanville,327250.0
2013,Brainerd,52203.25
2013,Brickyard,135317.5
2013,Bridgeport,237375.0
2013,Brighton Park,86250.0
2013,Bronzeville,87500.0
2013,Bryn Mawr Highlands,28725.0
2013,Bryn Mawr Historic District,150000.0
2013,Brynford Park,228500.0
2013,Bucktown,441225.0
2013,Budlong Woods,109862.5
2013,Buena Park,203750.0
2013,Burnside,25163.0
2013,Cabrini-Green,334000.0
2013,Calumet Heights,62500.0
2013,Canaryville,78000.0
2013,Carl Sandburg Village,195000.0
2013,Centerfield,139000.0
2013,Central Chicago,360000.0
2013,Central Station,450235.0
2013,Chatham,60025.0
2013,Chicago Lawn,56250.0
2013,Chinatown,256500.0
2013,Chrysler Village,59875.0
2013,Clarendon Park,190500.0
2013,Clearing,145750.0
2013,Cottage Grove Heights,46855.5
2013,Cragin,139500.0
2013,Dearborn Park,335975.0
2013,Depaul,563500.0
2013,Douglas,112067.5
2013,Douglas Park,53375.0
2013,Downtown Chicago,370000.0
2013,Dunning,173250.0
2013,East Beverly,147500.0
2013,East Chatham,22100.0
2013,East Garfield Park,42000.0
2013,East Humboldt Park,249500.0
2013,East Pilsen,171625.0
2013,East Ravenswood Historic District,291225.0
2013,East Rogers Park,98500.0
2013,East Side,59000.0
2013,East Ukrainian Village,432500.0
2013,Edgebrook,485000.0
2013,Edgewater,167050.0
2013,Edgewater Beach,113500.0
2013,Edgewater Glen,260000.0
2013,Edison Park,267500.0
2013,Englewood,17596.5
2013,Englewood Heights,45275.0
2013,Far North Side,206750.0
2013,Far Southeast Side,38975.0
2013,Far Southwest Side,110000.0
2013,Fernwood,27007.0
2013,Fifth City,57250.0
2013,Ford City,25000.0
2013,Fuller Park,16000.0
2013,Fulton Market,330875.0
2013,Fulton River District,344500.0
2013,Gage Park,68050.0
2013,Galewood,156375.0
2013,Garfield Ridge,158000.0
2013,Gladstone Park,204250.0
2013,Gold Coast,463000.0
2013,Goose Island,377500.0
2013,Graceland West,453500.0
2013,Grand Boulevard,75600.0
2013,Grand Crossing,30000.0
2013,Greater Grand Crossing,30622.5
2013,Greektown,290250.0
2013,Groveland Park,77000.0
2013,Hamlin Park,419250.0
2013,Hanson Park,126950.0
2013,Heart Of Chicago,135000.0
2013,Heart Of Italy,222000.0
2013,Hegewisch,82475.0
2013,Hermosa,129824.5
2013,Hollywood Park,190250.0
2013,Homan Square,30000.0
2013,Horner Park,388950.0
2013,Humboldt Park,142500.0
2013,Hyde Park,174250.0
2013,Hyde Park Kenwood Historic District,208750.0
2013,Ickes Praire,185000.0
2013,Illinois Medical District,52250.0
2013,Independence Park,294500.0
2013,Indian Village,103750.0
2013,Indian Woods,384500.0
2013,Irving Park,239050.0
2013,Irving Woods,169000.0
2013,Jackson Park Highlands,278750.0
2013,Jefferson Park,210000.0
2013,Jeffrey Manor,21175.0
2013,K-Town,32250.0
2013,Kelvyn Park,167500.0
2013,Kennedy Park,155000.0
2013,Kenwood,142003.5
2013,Kilbourn Park,164250.0
2013,Kosciuszko Park,190250.0
2013,Lake Meadows,440000.0
2013,Lake View,355250.0
2013,Lake View East,243500.0
2013,Lathrop,538500.0
2013,Leclaire Courts,55650.0
2013,Lincoln Park,478000.0
2013,Lincoln Square,299425.0
2013,Lithuanian Downtown,198425.0
2013,Little Cassubia,232500.0
2013,Little Italy,267975.0
2013,Little Vietnam,279875.0
2013,Logan Square,276125.0
2013,Longwood Manor,51277.5
2013,Loop,327400.0
2013,Lower West Side,156750.0
2013,Loyola,93750.0
2013,Magnificent Mile,611250.0
2013,Magnolia Glen,264625.0
2013,Margate Park,120000.0
2013,Marquette Park,53625.0
2013,Marshall Square,54137.5
2013,Mary Crest,195000.0
2013,Marynook,99250.0
2013,Mayfair,200000.0
2013,Mckinley Park,158525.25
2013,Midway Park,45000.0
2013,Montclare,148250.0
2013,Morgan Park,81500.0
2013,Mount Greenwood,167000.0
2013,Mount Greenwood Heights,185000.0
2013,Near East Side,440000.0
2013,Near North Side,383875.0
2013,Near South Side,360225.0
2013,New City,31208.25
2013,New City / Back Of The Yards,27000.0
2013,New East Side,425000.0
2013,New Roseland,28575.0
2013,Noble Square,418750.0
2013,North Austin,83575.0
2013,North Center,448750.0
2013,North Kenwood,132750.0
2013,North Lawndale,31350.0
2013,North Mayfair,225750.0
2013,North Park,226000.0
2013,North Shore,376500.0
2013,North Side,389500.0
2013,Northwest Side,178000.0
2013,Nortown,111250.0
2013,Norwood Park,244000.0
2013,Norwood Park East,236912.5
2013,Norwood Park West,272750.0
2013,Oakland,122500.0
2013,Old Hegewisch,62000.0
2013,Old Irving Park,243625.0
2013,Old Norwood Park,275750.0
2013,Old Town,362375.0
2013,Old Town Triangle,332500.0
2013,Oriole Park,231000.0
2013,Palmer Square,262000.0
2013,Park Manor,36800.0
2013,Park West,357700.0
2013,Peterson Park,263750.0
2013,Pill Hill,56450.0
2013,Pill Hill / Calument Heights,61500.0
2013,Pilsen Historic District,176250.0
2013,Portage Park,203625.0
2013,Prairie District,339000.0
2013,Princeton Park,23900.0
2013,Printer'S Row,264750.0
2013,Pulaski Park,279375.0
2013,Pullman,43000.0
2013,Ranch Triangle,582250.0
2013,Ravenswood,315000.0
2013,Ravenswood Gardens,405000.0
2013,Ravenswood Manor,454500.0
2013,River North,369250.0
2013,River West,349500.0
2013,Riverdale,11825.0
2013,Rogers Park,115000.0
2013,Rosehill,211250.0
2013,Roseland,29000.0
2013,Rosemoor,41875.0
2013,Schorsch Forest View,132000.0
2013,Schorsch Village,180250.0
2013,Scottsdale,108875.0
2013,Sheffield,581500.0
2013,Sheridan Park,239750.0
2013,Sheridan Station Corridor,312500.0
2013,Slag Valley,61000.0
2013,Sleepy Hollow,116550.0
2013,South Austin,37772.25
2013,South Chicago,27975.0
2013,South Commons,49075.0
2013,South Deering,24750.0
2013,South East Ravenswood,308500.0
2013,South Edgebrook,330000.0
2013,South Lawndale,57000.0
2013,South Lawndale / Little Village,57000.0
2013,South Loop,322500.0
2013,South Old Irving Park,175000.0
2013,South Shore,37625.0
2013,South Side,83525.0
2013,Southwest Side,87000.0
2013,St. Ben'S,611000.0
2013,Stateway Gardens,166500.0
2013,Stony Island Park,49750.0
2013,Streeterville,432500.0
2013,Tally'S Corner,345000.0
2013,The Bush,24271.75
2013,The Chicago University,36750.0
2013,The Gap,220000.0
2013,The Island,135000.0
2013,The Villa,432500.0
2013,Tri-Taylor,145000.0
2013,Ukrainian Village,384250.0
2013,Union Ridge,216500.0
2013,Uptown,224500.0
2013,Vittum Park,139000.0
2013,Waclawowo,232000.0
2013,Washington Heights,48168.5
2013,Washington Park,33825.0
2013,West Beverly,171250.0
2013,West Chatham,64000.0
2013,West Chesterfield,68250.0
2013,West Depaul,652500.0
2013,West Elsdon,125000.0
2013,West Englewood,14300.0
2013,West Garfield Park,26250.0
2013,West Humboldt Park,56450.0
2013,West Lake View,389375.0
2013,West Lawn,120325.0
2013,West Morgan Park,232500.0
2013,West Pullman,24324.75
2013,West Ridge,96350.0
2013,West Side,249250.0
2013,West Town,380250.25
2013,West Walker,232875.0
2013,West Woodlawn,41925.0
2013,Wicker Park,416250.0
2013,Wildwood,381750.0
2013,Woodlawn,48000.0
2013,Woodlawn Ridge,42975.0
2013,Wrightwood,269000.0
2013,Wrigleyville,415500.0
2014,Albany Park,216125.0
2014,Andersonville,367000.0
2014,Archer Heights,154250.0
2014,Archer Highlands,144500.0
2014,Armour Square,268250.0
2014,Ashburn,123750.0
2014,Ashburn Estates,161500.0
2014,Auburn Gresham,47546.5
2014,Austin,76268.5
2014,Avalon Park,60750.0
2014,Avondale,304250.0
2014,Back Of The Yards,38750.0
2014,Belmont Cragin,196725.0
2014,Belmont Heights,205000.0
2014,Belmont Terrace,220500.0
2014,Beverly,270000.0
2014,Beverly View,103500.0
2014,Beverly Woods,147500.0
2014,Big Oaks,258500.0
2014,Bowmanville,398000.0
2014,Brainerd,57000.0
2014,Brickyard,172662.25
2014,Bridgeport,257725.0
2014,Brighton Park,120437.5
2014,Bronzeville,113725.0
2014,Bryn Mawr Highlands,49775.0
2014,Bryn Mawr Historic District,162250.0
2014,Brynford Park,265000.0
2014,Bucktown,448750.0
2014,Budlong Woods,152500.0
2014,Buena Park,212875.0
2014,Burnside,25500.0
2014,Cabrini-Green,338250.0
2014,Calumet Heights,81500.0
2014,Canaryville,145250.0
2014,Carl Sandburg Village,203000.0
2014,Centerfield,148375.0
2014,Central Chicago,372500.0
2014,Central Station,457875.0
2014,Chatham,64300.0
2014,Chicago Lawn,69000.0
2014,Chinatown,231650.0
2014,Chrysler Village,94500.0
2014,Clarendon Park,207500.0
2014,Clearing,159500.0
2014,Cottage Grove Heights,62250.0
2014,Cragin,195500.0
2014,Dearborn Park,357500.0
2014,Depaul,637975.0
2014,Douglas,150000.0
2014,Douglas Park,95000.0
2014,Downtown Chicago,379125.0
2014,Dunning,206750.0
2014,East Beverly,177500.0
2014,East Chatham,35165.0
2014,East Garfield Park,52500.0
2014,East Humboldt Park,321625.0
2014,East Pilsen,300500.0
2014,East Ravenswood Historic District,325000.0
2014,East Rogers Park,126125.0
2014,East Side,75250.0
2014,East Ukrainian Village,462750.0
2014,Edgebrook,415375.0
2014,Edgewater,191000.0
2014,Edgewater Beach,124625.0
2014,Edgewater Glen,416625.0
2014,Edison Park,308500.0
2014,Englewood,16000.0
2014,Englewood Heights,119750.0
2014,Far North Side,234750.0
2014,Far Southeast Side,47699.75
2014,Far Southwest Side,118250.0
2014,Fernwood,24700.0
2014,Fifth City,37950.0
2014,Ford City,25000.0
2014,Fuller Park,32750.0
2014,Fulton Market,391875.0
2014,Fulton River District,389500.0
2014,Gage Park,87975.0
2014,Galewood,174300.0
2014,Garfield Ridge,172750.0
2014,Gladstone Park,257000.0
2014,Gold Coast,428750.0
2014,Goose Island,404500.0
2014,Graceland West,381375.0
2014,Grand Boulevard,101000.0
2014,Grand Crossing,44250.0
2014,Greater Grand Crossing,47250.0
2014,Greektown,311000.0
2014,Groveland Park,70000.0
2014,Hamlin Park,422500.0
2014,Hanson Park,148000.0
2014,Heart Of Chicago,150375.0
2014,Heart Of Italy,237000.0
2014,Hegewisch,86500.0
2014,Hermosa,162750.0
2014,Hollywood Park,237397.5
2014,Homan Square,48712.5
2014,Horner Park,533750.0
2014,Humboldt Park,189250.0
2014,Hyde Park,173750.0
2014,Hyde Park Kenwood Historic District,177000.0
2014,Ickes Praire,185000.0
2014,Illinois Medical District,31500.0
2014,Independence Park,367375.0
2014,Indian Village,115000.0
2014,Indian Woods,440811.25
2014,Irving Park,262500.0
2014,Irving Woods,210000.0
2014,Jackson Park Highlands,382250.0
2014,Jefferson Park,250125.0
2014,Jeffrey Manor,22549.75
2014,K-Town,42125.0
2014,Kelvyn Park,187500.0
2014,Kennedy Park,172000.0
2014,Kenwood,152875.0
2014,Kilbourn Park,175000.0
2014,Koreatown,105000.0
2014,Kosciuszko Park,256225.0
2014,Lake Meadows,125000.0
2014,Lake View,385062.5
2014,Lake View East,259000.0
2014,Lathrop,551000.0
2014,Leclaire Courts,103800.0
2014,Lincoln Park,495250.0
2014,Lincoln Square,331000.0
2014,Lithuanian Downtown,246000.0
2014,Lithuanian Plaza,53594.0
2014,Little Cassubia,276875.0
2014,Little Italy,279125.0
2014,Little Vietnam,303500.0
2014,Logan Square,311000.0
2014,Longwood Manor,55800.0
2014,Loop,344500.0
2014,Lower West Side,204000.0
2014,Loyola,126000.0
2014,Magnificent Mile,702500.0
2014,Magnolia Glen,259750.0
2014,Margate Park,115250.0
2014,Marquette Park,69425.0
2014,Marshall Square,74000.0
2014,Mary Crest,134000.0
2014,Marynook,114500.0
2014,Mayfair,239250.0
2014,Mckinley Park,174500.0
2014,Midway Park,115000.0
2014,Montclare,180000.0
2014,Morgan Park,93000.0
2014,Mount Greenwood,201250.0
2014,Mount Greenwood Heights,245000.0
2014,Near East Side,481000.0
2014,Near North Side,390000.0
2014,Near South Side,381500.0
2014,New City,39750.0
2014,New City / Back Of The Yards,34900.0
2014,New East Side,451000.0
2014,New Roseland,40250.0
2014,Noble Square,416750.0
2014,North Austin,101500.0
2014,North Center,490975.0
2014,North Kenwood,161000.0
2014,North Lawndale,46000.0
2014,North Mayfair,310000.0
2014,North Park,243125.0
2014,North Shore,395000.0
2014,North Side,411625.0
2014,Northwest Side,210000.0
2014,Nortown,109000.0
2014,Norwood Park,259850.0
2014,Norwood Park East,263000.0
2014,Norwood Park West,266000.0
2014,Oakland,176700.0
2014,Old Hegewisch,58500.0
2014,Old Irving Park,250225.0
2014,Old Norwood Park,367500.0
2014,Old Town,407375.0
2014,Old Town Triangle,416375.0
2014,Oriole Park,252250.0
2014,Palmer Square,295625.0
2014,Park Manor,49950.0
2014,Park West,324875.0
2014,Peterson Park,292750.0
2014,Pill Hill,60500.0
2014,Pill Hill / Calument Heights,81500.0
2014,Pilsen Historic District,233500.0
2014,Portage Park,232725.0
2014,Prairie District,385000.0
2014,Princeton Park,33091.0
2014,Printer'S Row,259000.0
2014,Pulaski Park,338500.0
2014,Pullman,45750.0
2014,Ranch Triangle,584500.0
